frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
93,357.63,129.68,412.3,197.45,300.95,195.0,421.68,288.37,280.83,278.91,425.81,368.0,279.19,350.96,391.02,367.17,319.39,366.8,-1,-1,-1,-1,-1,-1,-1,-1
94,357.73,129.9,412.64,198.49,301.5,195.67,423.54,290.01,283.07,280.25,430.14,368.6,281.83,350.44,390.24,367.47,318.78,366.74,-1,-1,320.0,479.07,-1,-1,-1,-1
95,358.14,129.85,411.45,198.14,301.95,195.4,425.5,288.13,283.97,282.2,433.97,362.0,284.67,361.77,389.57,366.05,319.07,365.66,-1,-1,320.64,475.41,-1,-1,-1,-1
96,359.09,130.15,412.89,198.09,302.18,195.06,427.77,288.78,283.54,280.98,437.61,363.91,287.68,359.5,391.68,366.27,320.76,365.9,-1,-1,323.1,476.4,-1,-1,-1,-1
97,359.32,131.26,413.68,197.32,301.16,195.59,426.0,286.25,285.59,281.91,441.63,364.47,288.42,356.59,391.2,366.91,317.82,366.83,-1,-1,320.37,479.58,-1,-1,-1,-1
98,359.42,131.38,413.7,197.6,302.0,196.35,427.24,285.64,285.71,282.86,443.66,363.16,289.54,361.02,390.97,363.24,318.7,363.46,-1,-1,323.56,476.11,-1,-1,-1,-1
99,358.79,131.56,413.83,196.62,301.81,196.14,429.06,282.6,285.66,281.95,447.35,363.89,288.53,355.83,392.25,363.11,319.45,363.6,-1,-1,323.35,476.92,-1,-1,-1,-1
100,359.81,131.19,414.06,196.84,302.39,194.72,432.2,285.35,285.43,281.15,449.15,369.2,290.25,359.79,391.62,360.44,319.76,360.18,391.92,467.15,324.76,469.91,-1,-1,-1,-1
101,359.28,132.36,414.39,196.99,302.6,195.99,430.57,282.45,286.32,281.16,448.53,362.28,288.82,356.3,392.19,364.35,319.8,364.46,-1,-1,323.5,476.56,-1,-1,-1,-1
102,359.56,132.41,414.84,197.48,303.05,195.83,431.11,282.52,286.53,281.07,448.5,362.17,288.82,358.48,392.22,363.22,320.03,362.96,-1,-1,323.51,474.96,-1,-1,-1,-1
103,360.21,132.97,414.31,197.31,304.54,195.96,429.84,282.31,287.51,281.79,446.95,363.27,288.93,361.17,391.75,362.05,320.66,361.88,-1,-1,323.25,473.39,-1,-1,-1,-1
104,360.77,133.02,414.93,197.02,305.08,196.28,428.7,281.38,288.23,281.36,444.92,362.23,290.01,359.95,392.41,362.26,321.4,362.34,-1,-1,323.72,473.91,-1,-1,-1,-1
105,361.2,132.01,415.46,196.16,305.48,194.7,429.71,283.82,286.25,279.82,440.06,364.74,290.87,359.22,394.97,361.45,324.26,361.57,-1,-1,324.63,470.54,-1,-1,-1,-1
106,361.64,132.75,416.16,197.34,305.49,194.89,429.17,287.14,287.53,281.59,438.44,369.6,292.93,361.27,395.52,364.08,324.18,363.77,-1,-1,325.01,471.95,-1,-1,-1,-1
107,362.16,132.78,415.92,197.02,306.47,194.11,429.45,287.17,288.2,280.25,438.1,371.71,292.92,359.98,394.53,363.78,324.11,363.11,-1,-1,324.9,470.5,-1,-1,-1,-1
108,362.79,132.93,416.61,196.86,306.94,193.29,428.7,286.89,288.72,277.99,434.58,369.47,293.88,358.95,395.66,365.3,325.25,364.36,-1,-1,-1,-1,-1,-1,-1,-1
109,363.61,133.3,415.78,195.97,308.05,192.81,428.18,284.34,288.69,276.61,434.92,365.18,294.49,359.53,395.07,361.38,325.92,360.83,-1,-1,327.74,467.52,-1,-1,-1,-1
110,364.0,133.3,416.37,196.49,307.91,193.02,428.62,285.0,289.39,277.37,435.63,366.82,294.99,360.49,396.35,360.72,326.51,360.06,-1,-1,327.8,467.13,-1,-1,-1,-1
111,364.58,133.39,417.23,195.81,308.83,192.19,429.78,284.18,289.53,275.93,436.3,366.33,296.05,361.89,397.28,361.0,327.65,360.31,-1,-1,329.62,468.81,-1,-1,-1,-1
112,364.82,133.65,418.11,195.73,308.32,192.2,430.89,285.01,289.55,276.9,436.74,368.04,295.69,362.87,397.97,362.14,327.19,361.54,-1,-1,329.8,468.4,-1,-1,-1,-1
113,365.11,133.45,418.18,196.42,308.34,192.89,431.86,283.81,289.49,276.65,437.75,366.0,295.93,362.17,397.37,361.0,326.56,360.36,-1,-1,329.44,465.71,-1,-1,-1,-1
114,366.21,132.94,419.08,195.5,308.79,192.69,432.9,282.84,289.13,277.08,439.87,365.23,295.21,362.51,398.27,360.02,327.33,359.71,-1,-1,329.49,466.72,-1,-1,-1,-1
115,367.21,132.64,420.85,195.82,309.85,192.35,434.5,284.93,289.52,275.9,439.87,366.7,295.25,361.63,398.69,359.37,327.6,358.54,-1,-1,328.97,467.1,-1,-1,-1,-1
116,368.06,132.31,421.26,195.44,310.13,192.56,434.4,284.14,289.96,275.16,440.17,366.38,294.29,358.31,399.33,360.75,327.58,360.32,-1,-1,329.71,468.43,-1,-1,-1,-1
117,368.81,132.15,421.55,194.81,310.68,192.81,435.07,283.48,290.07,275.91,440.48,366.59,294.07,359.08,399.75,359.12,328.19,359.03,-1,-1,329.76,466.84,-1,-1,-1,-1
118,368.65,132.01,422.88,195.69,310.91,192.26,436.35,285.47,290.19,274.73,441.05,368.07,293.43,353.76,399.32,359.99,327.24,359.14,-1,-1,330.84,464.8,-1,-1,-1,-1
119,369.29,130.67,423.97,195.38,311.34,192.25,436.09,285.27,290.34,274.5,441.15,367.6,292.9,354.89,399.59,361.92,327.22,361.23,-1,-1,331.48,468.92,-1,-1,-1,-1
120,370.12,130.95,424.7,195.31,312.26,192.43,436.85,286.05,290.29,274.61,441.34,370.37,293.2,353.57,400.26,360.92,328.05,360.25,-1,-1,331.37,469.24,-1,-1,-1,-1
121,371.14,129.87,425.62,195.82,312.55,192.69,436.87,286.84,290.16,275.21,441.68,371.65,292.69,357.09,401.61,362.99,329.15,362.35,-1,-1,333.87,472.09,-1,-1,-1,-1
122,371.52,130.24,426.71,195.26,312.88,192.35,438.17,286.68,290.26,276.35,441.22,368.73,291.93,361.81,401.01,365.86,328.01,365.21,-1,-1,332.95,475.36,-1,-1,-1,-1
123,372.38,130.13,426.78,195.09,313.12,192.94,439.48,285.49,290.56,276.31,443.68,370.99,291.94,361.91,401.55,363.08,328.83,362.82,-1,-1,334.96,472.47,-1,-1,-1,-1
124,372.47,130.95,427.89,195.12,313.99,193.83,438.38,284.32,291.95,278.01,446.15,370.35,292.41,365.74,401.19,366.82,327.88,366.67,-1,-1,334.81,479.61,-1,-1,-1,-1
125,372.93,130.78,428.39,195.39,314.0,194.65,439.13,284.5,292.18,280.25,446.65,369.36,292.55,369.61,401.29,369.24,327.66,369.24,-1,-1,333.46,480.0,-1,-1,-1,-1
126,373.76,130.34,429.56,195.05,314.34,194.2,440.2,285.93,291.79,280.4,449.15,372.22,291.98,370.65,403.59,370.8,328.98,371.0,-1,-1,334.36,480.0,-1,-1,-1,-1
127,373.96,129.6,430.74,195.16,314.08,193.71,441.8,287.38,291.56,280.49,451.24,374.6,291.36,371.06,405.56,372.59,329.89,372.54,-1,-1,-1,-1,-1,-1,-1,-1
128,374.78,126.91,429.79,195.78,313.86,193.17,443.35,288.89,291.7,281.21,448.92,378.67,290.03,370.65,404.05,369.97,329.29,369.13,-1,-1,335.29,480.0,-1,-1,-1,-1
